MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.001|+1.372|+1.372|+0.001|+0.000|-0.005|+0.000|+0.001|+0.004|-0.000|+0.000|+0.000|+1.370|+0.000|-0.002|+0.001|-0.000|+0.000|+1.368|
002:+0.001|+0.002|+1.373|+1.372|+0.002|-0.000|+0.004|+0.000|+0.003|-0.006|+0.000|+0.000|+0.001|+1.365|+0.000|-0.002|+0.005|-0.000|+0.000|+1.369|
003:+0.000|+0.001|+1.370|+1.370|+0.001|+0.000|+0.002|+0.000|+0.001|-0.003|-0.000|+0.000|-0.001|+1.369|+0.000|+0.001|-0.001|-0.000|+0.000|+1.370|
004:+0.001|+0.002|+1.369|+1.369|+0.002|+0.000|-0.001|-0.000|-0.004|+0.004|+0.001|+0.000|-0.002|+1.371|+0.000|+0.002|-0.004|-0.000|+0.000|+1.369|
005:+0.001|+0.001|+1.370|+1.371|+0.001|-0.000|-0.002|+0.000|+0.002|+0.002|-0.001|+0.000|+0.004|+1.370|-0.000|-0.002|-0.000|+0.001|+0.000|+1.367|
006:+0.000|+0.001|+1.371|+1.371|+0.001|-0.000|+0.001|+0.000|-0.000|-0.003|+0.000|+0.000|-0.003|+1.368|+0.000|+0.001|+0.002|-0.000|+0.000|+1.371|
007:+0.000|+0.002|+1.370|+1.370|+0.002|+0.000|-0.001|+0.000|+0.004|-0.002|-0.000|+0.000|+0.001|+1.369|+0.000|+0.001|-0.001|+0.000|+0.000|+1.368|
008:+0.000|+0.002|+1.367|+1.367|+0.002|+0.000|-0.000|-0.000|-0.000|+0.004|+0.000|+0.000|+0.004|+1.368|+0.000|+0.004|-0.003|-0.000|+0.000|+1.369|
009:+0.000|+0.002|+1.371|+1.371|+0.002|-0.000|+0.003|+0.000|-0.001|-0.004|-0.000|+0.000|-0.001|+1.368|+0.000|+0.004|+0.001|+0.000|+0.000|+1.373|
010:+0.000|+0.002|+1.371|+1.371|+0.002|+0.000|-0.003|+0.000|-0.006|+0.005|-0.000|+0.000|-0.003|+1.371|+0.000|+0.004|-0.002|+0.000|+0.000|+1.372|
011:+0.000|+0.002|+1.373|+1.373|+0.002|-0.000|+0.004|-0.000|-0.005|-0.002|+0.000|+0.000|-0.003|+1.368|+0.000|-0.002|+0.003|-0.000|+0.000|+1.369|
012:+0.000|+0.002|+1.374|+1.374|+0.002|+0.000|-0.000|+0.000|+0.008|-0.004|-0.000|+0.000|+0.004|+1.372|+0.000|-0.007|+0.001|+0.000|+0.000|+1.365|
013:+0.000|+0.002|+1.370|+1.370|+0.002|+0.000|-0.003|+0.000|-0.000|+0.005|+0.000|+0.000|+0.001|+1.371|+0.000|+0.000|-0.003|-0.000|+0.000|+1.369|
014:+0.000|+0.001|+1.372|+1.372|+0.001|+0.000|+0.001|-0.000|-0.003|-0.000|-0.000|+0.000|-0.003|+1.369|+0.000|+0.000|+0.002|+0.000|+0.000|+1.370|
