MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.002|+1.305|+1.305|+0.002|+0.000|-0.010|-0.000|-0.002|+0.008|+0.001|+0.000|-0.004|+1.305|+0.000|-0.001|-0.003|-0.000|+0.000|+1.302|
002:+0.000|+0.002|+1.303|+1.303|+0.002|-0.000|+0.012|+0.000|+0.005|-0.011|-0.001|+0.000|+0.006|+1.296|-0.000|-0.003|+0.006|+0.000|+0.000|+1.298|
003:+0.001|+0.001|+1.303|+1.303|+0.001|-0.000|-0.004|-0.000|-0.002|+0.003|+0.000|+0.000|-0.003|+1.308|+0.000|+0.002|-0.006|-0.000|+0.000|+1.304|
004:+0.001|+0.002|+1.303|+1.303|+0.002|+0.000|-0.007|+0.000|-0.004|+0.011|+0.000|+0.000|+0.000|+1.304|-0.000|+0.000|-0.003|+0.000|+0.000|+1.301|
005:+0.000|+0.002|+1.306|+1.307|+0.002|-0.000|+0.006|+0.000|+0.018|-0.015|+0.000|+0.000|+0.009|+1.297|+0.000|-0.004|+0.008|+0.000|+0.000|+1.301|
006:+0.000|+0.001|+1.297|+1.297|+0.001|+0.000|-0.003|+0.000|-0.008|+0.005|+0.000|+0.000|-0.006|+1.303|+0.000|+0.014|-0.007|+0.000|+0.000|+1.310|
007:+0.000|+0.002|+1.300|+1.300|+0.002|+0.000|+0.010|+0.000|-0.011|-0.003|-0.000|+0.000|-0.004|+1.300|+0.000|+0.006|-0.003|+0.001|+0.000|+1.304|
008:+0.000|+0.002|+1.305|+1.306|+0.002|-0.000|-0.006|+0.000|+0.001|+0.003|-0.001|+0.000|-0.001|+1.310|+0.000|-0.005|-0.006|+0.000|+0.000|+1.299|
009:+0.001|+0.003|+1.304|+1.304|+0.003|-0.000|-0.004|-0.000|+0.002|+0.010|+0.001|+0.000|+0.007|+1.304|+0.000|-0.003|-0.003|-0.000|+0.000|+1.298|
010:+0.000|+0.001|+1.308|+1.308|+0.001|-0.000|+0.002|-0.000|+0.003|-0.008|+0.000|+0.000|-0.003|+1.300|+0.000|-0.002|+0.007|+0.000|+0.000|+1.305|
011:+0.001|+0.002|+1.302|+1.302|+0.002|+0.000|-0.003|+0.000|-0.016|+0.010|-0.001|+0.000|-0.008|+1.302|-0.000|+0.001|-0.001|+0.000|+0.000|+1.302|
012:+0.000|+0.002|+1.310|+1.310|+0.002|+0.000|-0.000|+0.000|+0.013|-0.008|+0.000|+0.000|+0.004|+1.299|+0.000|-0.014|+0.009|-0.000|+0.000|+1.294|
013:+0.000|+0.002|+1.301|+1.301|+0.002|-0.000|+0.004|-0.000|-0.004|+0.001|+0.000|+0.000|+0.001|+1.298|+0.000|-0.002|+0.001|-0.000|+0.000|+1.298|
014:+0.000|+0.002|+1.307|+1.307|+0.002|+0.000|+0.001|+0.000|+0.005|-0.005|+0.001|+0.000|+0.001|+1.302|-0.000|-0.006|+0.002|+0.000|+0.000|+1.298|
015:+0.000|+0.001|+1.301|+1.302|+0.001|-0.000|+0.004|-0.000|+0.006|-0.001|-0.001|+0.000|+0.010|+1.304|+0.000|-0.001|-0.003|+0.001|+0.000|+1.299|
016:+0.000|+0.001|+1.305|+1.305|+0.001|+0.000|-0.007|+0.000|-0.005|+0.001|+0.000|+0.000|-0.011|+1.308|-0.000|+0.005|-0.004|-0.000|+0.000|+1.309|
017:+0.000|+0.002|+1.300|+1.300|+0.002|+0.000|-0.004|+0.000|-0.005|+0.004|-0.000|+0.000|-0.005|+1.302|+0.000|+0.000|-0.004|+0.000|+0.000|+1.299|
018:+0.000|+0.003|+1.301|+1.301|+0.003|-0.000|+0.001|+0.000|+0.006|-0.000|-0.000|+0.000|+0.007|+1.297|+0.000|-0.005|+0.001|-0.000|+0.000|+1.293|
019:+0.001|+0.002|+1.300|+1.300|+0.002|-0.000|+0.008|+0.000|-0.000|-0.006|+0.000|+0.000|+0.002|+1.298|+0.000|+0.001|+0.000|-0.000|+0.000|+1.300|
