MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.003|+1.358|+1.359|+0.003|-0.000|-0.003|-0.000|-0.003|+0.006|-0.001|+0.000|+0.000|+1.361|-0.000|+0.001|-0.005|+0.000|+0.000|+1.357|
002:+0.000|+0.002|+1.361|+1.361|+0.002|+0.000|+0.001|+0.000|-0.001|-0.001|+0.000|+0.000|-0.002|+1.358|-0.000|-0.002|+0.001|-0.000|+0.000|+1.357|
003:+0.000|+0.002|+1.360|+1.360|+0.002|+0.000|-0.001|+0.000|+0.002|+0.002|+0.000|+0.000|+0.003|+1.359|+0.000|-0.003|-0.000|-0.000|+0.000|+1.355|
004:+0.000|+0.001|+1.361|+1.361|+0.001|+0.000|+0.000|+0.000|+0.004|-0.004|-0.000|+0.000|+0.000|+1.358|+0.000|-0.001|+0.001|+0.000|+0.000|+1.358|
005:+0.001|+0.002|+1.358|+1.358|+0.002|+0.000|-0.001|+0.000|-0.006|+0.006|+0.001|+0.000|-0.002|+1.359|+0.000|+0.002|-0.003|-0.000|+0.000|+1.358|
006:+0.000|+0.002|+1.362|+1.363|+0.002|-0.000|+0.002|+0.000|+0.003|-0.000|-0.001|+0.000|+0.005|+1.357|+0.000|-0.003|+0.003|+0.001|+0.000|+1.356|
007:+0.000|+0.002|+1.364|+1.364|+0.002|-0.000|-0.003|-0.000|+0.000|-0.001|-0.000|+0.000|-0.003|+1.360|+0.000|-0.000|+0.003|+0.000|+0.000|+1.362|
008:+0.000|+0.002|+1.360|+1.360|+0.002|+0.000|+0.001|+0.000|-0.002|-0.000|-0.000|+0.000|-0.001|+1.357|-0.000|-0.000|+0.002|+0.000|+0.000|+1.359|
009:+0.001|+0.002|+1.362|+1.362|+0.002|-0.000|+0.002|+0.000|+0.002|-0.002|+0.000|+0.000|+0.001|+1.358|+0.000|-0.002|+0.002|-0.000|+0.000|+1.358|
010:+0.000|+0.002|+1.361|+1.361|+0.002|+0.000|+0.005|+0.000|-0.003|-0.005|-0.001|+0.000|-0.003|+1.360|+0.000|-0.000|-0.001|+0.000|+0.000|+1.358|
011:+0.001|+0.002|+1.360|+1.360|+0.002|+0.000|-0.009|-0.000|+0.004|+0.010|-0.000|+0.000|+0.005|+1.364|+0.000|-0.004|-0.006|-0.000|+0.000|+1.355|
012:+0.001|+0.002|+1.362|+1.362|+0.002|-0.000|+0.002|+0.000|-0.000|-0.003|+0.001|+0.000|-0.003|+1.356|-0.000|+0.000|+0.004|-0.000|+0.000|+1.360|
